OP_CENTER	Latitude	Longitude
CRT	34.5615193	-85.082708
CHT	34.8333	-84.8499
SAV	34.5885188	-84.9432229
CMB	32.986274	-85.0970341
SBG	33.5902424	-84.3414563
MEE	34.9195285	-85.1150618
OLN	33.7428337	-84.66412
ATH	34.1239	-83.5654
SOC	34.3447614	-83.806235
CNL	34.6963025	-83.7756685
CLY	34.9955833	-83.8435128
HRT	34.4881968	-83.213059
GNS	34.9727	-84.1270192
DHL	34.5771	-84.1684
AGT	33.8144272	-84.3966605
ARL	31.67575	-84.9433
TKR	33.926793	-84.3511257
STB	32.547485	-82.1320693
SMV	34.6176	-85.5141
HNS	31.9348167	-81.9339544
EVN	34.2849892	-84.5558297
GWN	34.0572018	-84.8991931
BRN	31.5477279	-81.620493
STM	30.848817	-81.6490315
STS	31.2964264	-81.440033
GLN	32.049765	-81.963474
SWB	32.7123264	-82.536617
BLK	31.4412543	-82.2948371
JES	31.8331925	-82.1333585
PNM	33.6681175	-85.185895
ALB	31.8839633	-85.0979033
BNB	31.1751316	-85.062734
DWS	31.91057	-84.5539962
FTG	34.0731474	-85.1136903
BTL	32.7455789	-84.405243
MAC	33.1594586	-84.0003448
DUB	32.620167	-83.3612039
MCR	34.0375921	-84.473683
HKV	32.5308523	-83.8711593
BFD	34.1886528	-84.148357
ATL	33.8979	-85.0988604
ETN	33.373235	-83.7895679
GRN	34.064028	-85.287952
ROM	34.4408	-85.4547
TRN	34.9851	-85.6019
DLT	34.9873	-85.1198244
CRR	34.163586	-85.3164
JPR	34.5669	-84.6222034
CDT	34.1545	-85.4041298
RKM	34.1032	-85.1693
VDS	33.9431434	-83.701312
HAH	31.2137679	-83.526112
CTN	34.3701693	-84.575426
PRS	31.398045	-83.121882
DCT	33.838189	-84.4293727
COM	34.2481	-83.346265
CHM	34.287001	-84.7351717
SPG	33.9592898	-84.5542525
PTC	34.00322	-84.3425662
MCD	33.483823	-84.671637
WND	34.2885983	-83.856501
AUS	33.8860179	-84.69335
FPK	34.2375874	-84.487122
SMY	34.1223525	-84.887386
WOD	34.1412	-84.5924
FTV	33.550692	-84.6162304
GRB	33.825875	-84.56985
TLP	34.1995303	-85.3615
SPR	33.3506557	-83.3016792
HZH	33.7272821	-82.709076
NCB	34.234385	-84.6714
TOC	34.703925	-83.3909
LVL	33.12622	-82.623267
VDL	32.5312232	-82.6711583
WYC	31.5442244	-82.617772
ALM	31.62444	-82.54907
PER	32.5860875	-83.8836129
MLV	33.3536007	-83.7110327
TFT	33.2737344	-83.867421
DGL	31.638048	-83.048753
DUL	34.107188	-84.9957753
RSW	34.2757865	-84.4134
CON	34.5885188	-84.1516914
GB2	33.8051	-84.6178468
MSJ	33.7254754	-84.4532156
VRA	33.7684	-85.0504
LTH	33.9252444	-84.8364005
PLH	31.4457172	-84.60066
EAS	33.6343746	-84.3955641
NWN	34.434509	-84.95393
FLK	31.006932	-82.1319569
CMG	34.3769003	-84.2447287
APA	33.659469	-84.459153
DRN	31.5675078	-81.6080132
DOU	33.780402	-84.8315
HMV	31.1698891	-83.01536
LST	33.91508	-84.1985322
CLV	34.7282	-83.8463
MAD	33.6604709	-83.7484077
JFS	34.311518	-83.7832042
LVN	34.507059	-83.250643
RGD	34.9383	-85.1452
MET	32.5854936	-82.2392953
WAR	33.623942	-82.915254
KGL	31.117515	-81.7696604
REI	32.208245	-82.2211238
MNC	34.2349504	-85.1846138
ZEB	34.5490877	-84.7762679
CHR	32.4593203	-83.490642
WTV	32.747003	-82.7632715
TMN	33.848096	-83.3581207
RCH	34.5885188	-83.61611
BXL	32.0787979	-82.6789579
ROY	34.33272	-83.2752113
WYB	33.2159994	-82.4724604
CLX	33.9363072	-83.4370492
AMR	32.3781826	-84.7983581
RCL	32.204557	-84.812513
VNA	32.3032841	-84.0293611
LKL	31.083027	-83.2053511
LIN	33.9418703	-82.7940553
BRE	33.8279	-85.2201342
EJY	34.7125246	-84.5845527
TNN	33.00571	-82.967205
NSV	31.4249371	-83.480362
OCL	31.730277	-83.335682
AHB	31.844879	-83.712837
MTZ	32.501502	-84.946036
GRY	33.119682	-83.625975
CHK	34.948895	-85.3762
GRD	32.9383376	-83.4019139
THV	31.026258	-84.005778
MRI	31.425728	-83.969045
SPN	33.479105	-82.764582
DLL	34.0571982	-84.8852778
CBT	31.78814	-84.9571157
DNS	31.2600388	-85.1098949
MIL	32.863852	-81.9563634
WRE	33.282547	-82.5506
BVT	32.364303	-84.600785
